0xD4DF5C79, serious
0x1C7585D1, set_zombie_run_cycle
0x9869AB67, forceteleport
0x3E8A33, find_flesh_struct_string
0x680581C2, 0bogsarraykeys20d57387-30de-4eb5-ad53-1ed06b1151a9
0xB9F75C53, 0bogsindex80cc5b5f-a7ac-45d6-b610-76c3fa72a8f3
0xAE3977F2, 0bogsarraykeysc268e97f-4ec6-4d75-b963-caf349c7c70a
0x15FCAC06, 0bogsindex4200f720-7d4d-4ac1-8aa1-800849d22a17
0xA4A2966A, 0bogsarraykeys024f2596-a2e6-44c8-9fc2-b18dc79f4134
0x83C6AAEE, 0bogsindex8a81d638-fbc3-460b-bd76-d0834ee5fa47
0x86C93E40, state
0x9D134160, clear
0x76E2A8A, 0bogsarraykeysc023cdee-9ecf-4a77-ac4d-f08572f92ab0
0x1E493CB7, 0bogsindexe2e4db13-01f3-465c-8fed-510d33037307
0xE8D13E75, zombiex
0x26299103, randomint
0x8F279593, enablelinkto
0x8957C0EF, chained
0x8EF4432F, 0bogsarraykeys627ae4d1-078d-4b13-ae90-6a9ef3c49329
0x9FC43A18, 0bogsindex0f630785-6b94-4ea2-a766-7fe1e3192852
0x9CE09198, setplayercollision
0x422037F5, notsolid
0x3A7B7002, 0bogsarraykeys9eb0dcce-a3df-4f72-a5c2-bbebf601db08
0x188962F, 0bogsindexe4808520-d385-4264-a05b-13df086df75e
0x33BA3117, zm_super_melee
0xA0AD4F34, attacker
0xC47FB4CA, is_zombie
0xA92BEF91, zm_exploders
0x40C299F6, zm_spooky
0xEAC31668, radiusdamage
0x35C84E32, val
0x64739E73, 0bogsarraykeys67def29c-a728-43d8-8d70-ae9f999fc1f4
0xF2E4A080, 0bogsindex402ca660-9881-4137-b056-905ae72f4a91
0x483A440, camoname
0x519CEFE7, arg
